Met file for Wind River, Washington, USA

&environ
difsky = 0.0
ca = 410.663661655329
press = 96777.473218838
/

&latlong
lat=45 49 13.8
long=121 57	6.8394
tzlong=120
lonhem='W'
lathem='N'
/

startdate and enddate format: dd/mm/yy
&metformat
dayorhr=1
khrsperday=48
nocolumns=9
startdate='01/01/14'
enddate='31/12/14'
columns='DATE'	'TAIR'	'WIND'	'RH%'	'PRESS'	'RAD'	'PAR'	'TSOIL'	'CA'
/

DATA STARTS
4	-1.983692	0.5923697	92.2021	97956.81	0	0	2.2305	406.9501483
4	-2.407104	0.7830285	92.84989	97967.61	0	0	2.221933333	408.1966986
4	-2.282467	0.6537735	91.33432	97976.58	0	0	2.2221	407.8860619
4	-2.407937	0.7956286	90.62653	97960.41	0	0	2.222966667	408.7502709
5	-2.625195	0.4068841	89.83134	97941.06	0	0	2.209633333	409.3006143
5	-2.823822	0.6108638	90.14841	97939.09	0	0	2.204933333	409.5477976
5	-2.841011	0.7909277	92.59718	97949.19	0	0	2.1954	409.0188833
5	-2.676778	0.6424171	87.34502	97963.5	0	0	2.1916	409.3090568
5	-3.127242	0.7980399	89.12904	97973.69	0	0	2.1854	410.7016104
5	-3.216718	0.41885	89.9631	98005.97	0	0	2.157833333	409.5139922
5	-2.989125	0.498982	86.55984	98026.83	0	0	2.167166667	409.4083402
5	-3.177862	0.7122699	85.85416	98024.77	0	0	2.157566667	410.1666095
5	-3.434609	1.10221	87.02947	98031.01	0	0	2.155166667	411.2187695
5	-3.281493	0.7227197	85.22352	98024.81	0	0	2.147433333	411.0544245
5	-3.81975	1.150279	90.07216	98026.73	0	0	2.1401	411.2491185
5	-3.417882	0.4832252	85.30864	98039.12	0	0	2.141566667	410.7029816
5	-3.418983	0.8103345	83.5342	98046.5	0	0	2.1216	410.8771508
5	-3.967705	1.208187	88.01617	98052.75	0	0	2.1263	411.8202471
5	-3.837623	0.4717335	86.45171	98056.08	0	0	2.105633333	411.1492312
5	-3.578776	0.3554201	82.68795	98064.33	0	0	2.102	411.2551787
5	-3.849504	0.5225351	85.06047	98080.38	0	0	2.091866667	411.1312192
5	-3.718456	0.8859041	85.99197	98117.31	72.5	65.81	2.084333333	410.279497
5	-3.028844	0.4677543	81.3501	98183.95	147.7	177.3	2.0775	410.527753
5	-2.804893	0.8373982	78.8866	98245.45	216.9	329.7	2.072366667	410.7725868
5	-1.260327	0.3581491	73.07772	98271.48	264	510.6	2.0712	409.8219501
5	0.20164	0.2989034	72.23862	98289.64	360.5	613.1	2.066266667	410.1903459
5	0.8814894	0.3381216	72.47605	98290.92	357.6	687.8	2.066633333	410.0455897
5	2.243788	0.7280159	66.88675	98253.74	345.4	750	2.038233333	408.4343186
5	3.288718	2.550736	52.56583	98195.01	361.6	791	2.051966667	404.4232971
5	3.910225	1.879008	50.51969	98161.37	362.4	800	2.0461	403.9156531
5	4.717146	1.517938	45.61534	98124.37	350.7	780	2.044166667	402.6420284
5	5.276298	2.450051	41.24086	98090.46	327.9	733	2.041866667	401.7386798
5	5.486008	3.02326	39.3367	98072.91	292.6	656.8	2.0362	401.6361742
5	5.331489	2.901927	40.11271	98072	246	556.3	2.0363	401.7882056
5	5.14744	2.453581	40.89761	98083.5	189.7	436.3	2.0292	401.9027818
5	4.918367	4.24102	42.23842	98066.65	123.3	291.8	2.0224	402.0541178
5	4.289802	4.485083	45.33117	98045.78	21.22	77.7	2.0092	402.4320388
5	4.098824	4.4113	46.67776	98032.6	11.06	43.57	2.0187	402.7822621
